Vivado Simulator 2018.1
Time resolution is 1 ps
 Time Clk Rstb Valid Ready Last Data
     915.0ns 1 1 0 1 0 00000000000000000000000000011111
     920.0ns 0 1 0 1 0 00000000000000000000000000011111
     925.0ns 1 1 0 1 0 00000000000000000000000000011111
     930.0ns 0 1 0 1 0 00000000000000000000000000011111
     935.0ns 1 1 0 1 0 00000000000000000000000000011111
     940.0ns 0 1 0 1 0 00000000000000000000000000011111
     945.0ns 1 1 0 1 0 00000000000000000000000000011111
     950.0ns 0 1 0 1 0 00000000000000000000000000011111
     955.0ns 1 1 0 1 0 00000000000000000000000000011111
     960.0ns 0 1 0 1 0 00000000000000000000000000011111
     965.0ns 1 1 0 1 0 00000000000000000000000000011111
     970.0ns 0 1 0 1 0 00000000000000000000000000011111
     975.0ns 1 1 0 1 0 00000000000000000000000000011111
     980.0ns 0 1 0 1 0 00000000000000000000000000011111
     985.0ns 1 1 0 1 0 00000000000000000000000000011111
     990.0ns 0 1 0 1 0 00000000000000000000000000011111
     995.0ns 1 1 0 1 0 00000000000000000000000000011111
    1000.0ns 0 1 0 1 0 00000000000000000000000000011111
    1005.0ns 1 1 0 1 0 00000000000000000000000000011111
    1010.0ns 0 1 0 1 0 00000000000000000000000000011111
    1015.0ns 1 1 0 1 0 00000000000000000000000000011111
    1020.0ns 0 1 0 1 0 00000000000000000000000000011111
    1025.0ns 1 1 0 1 0 00000000000000000000000000011111
    1030.0ns 0 1 0 1 0 00000000000000000000000000011111
    1035.0ns 1 1 0 1 0 00000000000000000000000000011111
    1040.0ns 0 1 0 1 0 00000000000000000000000000011111
    1045.0ns 1 1 0 1 0 00000000000000000000000000011111
    1050.0ns 0 1 0 1 0 00000000000000000000000000011111
    1055.0ns 1 1 0 1 0 00000000000000000000000000011111
    1060.0ns 0 1 0 1 0 00000000000000000000000000011111
    1065.0ns 1 1 0 1 0 00000000000000000000000000011111
    1070.0ns 0 1 0 1 0 00000000000000000000000000011111
    1075.0ns 1 1 0 1 0 00000000000000000000000000011111
    1080.0ns 0 1 0 1 0 00000000000000000000000000011111
    1085.0ns 1 1 0 1 0 00000000000000000000000000011111
    1090.0ns 0 1 0 1 0 00000000000000000000000000011111
    1095.0ns 1 1 0 1 0 00000000000000000000000000011111
    1100.0ns 0 1 0 1 0 00000000000000000000000000011111
    1105.0ns 1 1 0 1 0 00000000000000000000000000011111
    1110.0ns 0 1 0 1 0 00000000000000000000000000011111
    1115.0ns 1 1 0 1 0 00000000000000000000000000011111
    1120.0ns 0 1 0 1 0 00000000000000000000000000011111
    1125.0ns 1 1 0 1 0 00000000000000000000000000011111
    1130.0ns 0 1 0 1 0 00000000000000000000000000011111
    1135.0ns 1 1 0 1 0 00000000000000000000000000011111
    1140.0ns 0 1 0 1 0 00000000000000000000000000011111
    1145.0ns 1 1 0 1 0 00000000000000000000000000011111
    1150.0ns 0 1 0 1 0 00000000000000000000000000011111
    1155.0ns 1 1 0 1 0 00000000000000000000000000011111
    1160.0ns 0 1 0 1 0 00000000000000000000000000011111
    1165.0ns 1 1 0 1 0 00000000000000000000000000011111
    1170.0ns 0 1 0 1 0 00000000000000000000000000011111
    1175.0ns 1 1 0 1 0 00000000000000000000000000011111
    1180.0ns 0 1 0 1 0 00000000000000000000000000011111
    1185.0ns 1 1 0 1 0 00000000000000000000000000011111
    1190.0ns 0 1 0 1 0 00000000000000000000000000011111
    1195.0ns 1 1 0 1 0 00000000000000000000000000011111
    1200.0ns 0 1 0 1 0 00000000000000000000000000011111
    1205.0ns 1 1 0 1 0 00000000000000000000000000011111
    1210.0ns 0 1 0 1 0 00000000000000000000000000011111
    1215.0ns 1 1 0 1 0 00000000000000000000000000011111
    1220.0ns 0 1 0 1 0 00000000000000000000000000011111
    1225.0ns 1 1 0 1 0 00000000000000000000000000011111
    1230.0ns 0 1 0 1 0 00000000000000000000000000011111
    1235.0ns 1 1 0 1 0 00000000000000000000000000011111
    1240.0ns 0 1 0 1 0 00000000000000000000000000011111
    1245.0ns 1 1 0 1 0 00000000000000000000000000011111
    1250.0ns 0 1 0 1 0 00000000000000000000000000011111
    1255.0ns 1 1 0 1 0 00000000000000000000000000011111
    1260.0ns 0 1 0 1 0 00000000000000000000000000011111
    1265.0ns 1 1 0 1 0 00000000000000000000000000011111
    1270.0ns 0 1 0 1 0 00000000000000000000000000011111
    1275.0ns 1 1 0 1 0 00000000000000000000000000011111
    1280.0ns 0 1 0 1 0 00000000000000000000000000011111
    1285.0ns 1 1 0 1 0 00000000000000000000000000011111
    1290.0ns 0 1 0 1 0 00000000000000000000000000011111
    1295.0ns 1 1 0 1 0 00000000000000000000000000011111
    1300.0ns 0 1 0 1 0 00000000000000000000000000011111
    1305.0ns 1 1 0 1 0 00000000000000000000000000011111
    1310.0ns 0 1 0 1 0 00000000000000000000000000011111
    1315.0ns 1 1 0 1 0 00000000000000000000000000011111
    1320.0ns 0 1 0 1 0 00000000000000000000000000011111
    1325.0ns 1 1 0 1 0 00000000000000000000000000011111
    1330.0ns 0 1 0 1 0 00000000000000000000000000011111
    1335.0ns 1 1 0 1 0 00000000000000000000000000011111
